x,y
595.96,313.93
591.87,324.17
602.78,326.90
617.12,309.84
618.48,318.71
621.22,326.90
621.90,332.36
617.80,340.55
610.29,346.69
602.10,343.96
593.92,342.60
585.73,335.09
625.31,339.87
630.77,348.06
638.96,348.74
640.32,357.61
655.34,363.75
634.18,361.71
634.18,367.17
627.36,367.85
612.34,363.75
606.20,360.34
597.33,365.80
593.23,355.56
578.90,351.47
565.93,371.26
574.80,379.45
592.55,381.50
613.71,385.59
630.08,395.15
637.59,394.47
634.86,386.96
654.65,389.69
652.61,383.54
660.79,386.27
625.31,371.26
631.45,371.94
637.59,371.94
642.37,371.94
647.83,369.90
645.78,375.36
649.20,375.36
582.31,412.21
583.68,428.59
593.92,434.05
600.06,430.64
593.23,445.65
613.02,416.99
614.39,425.86
615.07,436.09
607.56,442.92
612.34,459.98
618.48,457.93
619.85,445.65
628.04,453.84
516.79,489.33
522.94,481.14
533.86,471.58
546.82,467.49
514.07,469.53
518.84,459.98
542.73,459.98
548.87,453.16
553.65,438.82
560.48,438.14
572.07,439.51
564.57,451.79
544.09,438.82
540.00,434.05
540.00,421.76
546.82,414.26
558.43,412.89
496.32,434.05
507.93,443.60
503.83,448.38
505.20,455.21
497.00,451.79
490.18,446.33
484.04,443.60
482.67,432.00
488.81,429.95
489.50,453.16
489.50,463.39
458.78,331.68
455.37,340.55
464.25,351.47
459.47,365.12
447.87,373.31
441.04,381.50
432.17,384.91
464.93,412.89
463.56,430.64
465.61,428.59
472.44,423.81
473.80,432.00
475.85,436.78
470.39,434.73
464.25,434.05
462.88,442.24
468.34,441.55
465.61,447.01
471.07,447.01
478.58,447.01
455.37,389.00
479.26,394.47
489.50,406.75
506.56,412.89
501.10,424.49
521.57,431.32
533.18,416.99
512.02,413.57
512.02,421.08
518.16,421.76
522.26,416.99
469.02,376.72
473.80,380.13
466.29,385.59
477.90,380.13
486.08,382.86
490.18,391.05
494.27,389.69
496.32,396.51
502.47,394.47
503.83,368.53
503.15,378.08
514.75,379.45
510.65,382.86
517.48,389.00
521.57,397.88
529.08,382.86
539.32,382.86
548.19,381.50
554.33,373.99
558.43,365.12
560.48,355.56
489.50,378.77
476.53,367.85
472.44,352.83
478.58,341.92
486.08,333.73
499.05,327.58
506.56,322.12
515.43,317.35
468.34,308.48
474.49,316.66
464.25,322.12
469.71,330.31
480.63,325.53
481.31,309.84
490.86,304.38
484.04,315.30
488.13,318.71
491.54,322.12
494.27,309.84
499.05,313.93
499.74,300.28
